с багом знакомица? андрюша хуйки подгрузил уже|18 мая 2025 в 10:45|https://vk.com/wall-149218373_25986?reply=25988
он синор|9 сен 2023 в 9:25|https://vk.com/wall3956891_4429?reply=4453
"[id97540605|Таня], создание комплексов. истинное лицо психолога-ублюдка"|18 июн 2025 в 21:15|https://vk.com/wall-66894905_602335?reply=602590&thread=602351
BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZFFFFAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA|23 окт 2021 в 4:08|https://vk.com/wall-160959246_92324?reply=92487
а ухо отрезал?|22 фев 2020 в 7:04|https://vk.com/wall-43521631_1266482?reply=1266587
👆 каждый пальчик знает свою п опочку|23 авг 2014 в 6:36|https://vk.com/wall68987676_3800?reply=3802
ща атакуем америку, потом тута пизданрем тама пизданем. пара тестов у психологов которые не знают о машине. пара реплик в офисе вк и все неделька чудненькая будет.  зарплата.|28 мая 2023 в 13:38|https://vk.com/wall68987676_13621?reply=13640
"[id193216013|Алексей], да, особенно после обеда бывало я в толчке спал минут 20"|25 авг 2017 в 15:32|https://vk.com/wall-29992264_102567?reply=102572
либо валяеться отпизженый над посольством|17 фев 2025 в 0:05|https://vk.com/wall-72495085_1478379?reply=1478520
политех|3 окт 2025 в 3:35|https://vk.com/wall-39191411_720370?reply=720372
утончонная|4 дек 2013 в 14:45|https://vk.com/wall68987676_2899?reply=2904
|14 июн 2020 в 1:46|https://vk.com/wall-18728724_239126?reply=239376
|30 дек 2018 в 13:29|https://vk.com/wall-99824335_65911?reply=65923
да пиздец, люди с ума сходят - и причом бох прикололся нормально - у меня можно на работе наблюдать это наяву, за чёрто спасибо бог - уи нихуя ана не пони маеш? [m]|13 апр 2012 в 3:37|https://vk.com/wall68987676_1606?reply=1777
"[id14245393|Дмитрий], это случайно с ть"|24 дек 2017 в 1:31|https://vk.com/wall-21598534_201383?reply=201392
как это не упал|22 фев 2020 в 1:29|https://vk.com/wall-30315369_406712?reply=406872
"[id525781812|Ег], еще нет. еще не вставлена директива главная"|18 янв 2019 в 10:50|https://vk.com/wall-134594172_22821?reply=22826&thread=22824
у мня нету от тебя смс они в фсб уехали|2 авг 2019 в 13:45|https://vk.com/wall547506125_621?reply=629&thread=625
дам центром по нижней|23 авг 2014 в 4:45|https://vk.com/wall-40339836_1133038?reply=1133728
"[id83237524|Ольга], да и не про атомную войну я говорил, она же будет последняя а потом опять эволюция"|24 июл 2017 в 23:25|https://vk.com/wall-21598534_183272?reply=183356
мужики!|18 июн 2025 в 20:26|https://vk.com/wall-216965535_130538?reply=130638
"[id6476833|Алексей], я не спец в рандоме, но знаю что в лабораториях скорее поставят линукс это да"|19 авг 2018 в 13:16|https://vk.com/wall-72495085_857914?reply=858258
жиза ваще|16 мар 2017 в 1:20|https://vk.com/wall-58297919_35320?reply=35324
не разогнаца с такими перебоями поставок|30 апр 2025 в 0:49|https://vk.com/wall-182457941_25518?reply=25578
возбудилось уголовное дело|20 июн 2019 в 12:51|https://vk.com/wall-35632477_87914?reply=87928
"[id445551506|Багбир], пиздец ты извращенец. ты ебанутый?"|4 ноя 2017 в 22:48|https://vk.com/wall-95927518_1803368?reply=1804043
лебедев гнида нестрижена|17 июн 2013 в 9:20|https://vk.com/wall18425009_39315?reply=39343
откуда вынули её|20 сен 2025 в 21:50|https://vk.com/wall-214038473_30998?reply=31047
вы сами так сделали пожинайте|20 авг 2022 в 20:11|https://vk.com/wall68987676_11775?reply=11799
Ебанутая|21 фев 2015 в 20:08|https://vk.com/wall253839477_13?reply=2063
"зачем бросать наркотики если ""лечение"" убивает все больше и больше здоровья по мере увеличения даты неприема а не наоборот? а, это лечение? а кому это выгодно? можно юзать раз а неделю так я хотябы пиздить вас могу. вы же и ваши приближенные олухи считают что рембо то я в соляге. нет, просто приходица каждый день анализировать вашу ебаную машину совмещая это с вашим ебаным клопиксолом и галоперидолом, закидываясь сероквельем. ебаные читеры, я вам уже писал. нахуй тут жить."|17 ноя 2023 в 6:23|https://vk.com/wall-123553318_1363?reply=1373
|23 фев 2017 в 1:59|https://vk.com/wall-69371352_1652834?reply=1654345
"[id110634732|Алексей], во всякой пизде"|23 ноя 2017 в 10:05|https://vk.com/wall-95927518_1845376?reply=1846043
ясно спс|21 июл 2017 в 8:41|https://vk.com/wall-40648265_35004?reply=35042
типа я такой хуёвый =)|11 мая 2012 в 10:38|https://vk.com/wall2487753_5842?reply=5848
орюкзак кожаный 200руб - https://skrinshoter.ru/sXgUE8V4PWV|19 сен 2025 в 5:39|https://vk.com/wall68987676_18486?reply=19093
|17 окт 2018 в 21:39|https://vk.com/wall-63708206_276746?reply=276748
Евгений получает шанс прыжка - смотрим сможет ли он продержаца больше свистящего анархиста-армянина. Все на свои места пожалуста Евгений займите место в капсуле|25 июн 2016 в 20:00|https://vk.com/wall-69371352_1188309?reply=1188819
ну чо я был занят как ТАМ про ц е сс ее ?|28 дек 2024 в 21:35|https://vk.com/wall68987676_16562?reply=16576
"[id488508748|Daman], почему нет то"|9 окт 2018 в 11:52|https://vk.com/wall-79039403_189794?reply=189802
так всё мы запутались дайте павалят с а|15 авг 2024 в 19:48|https://vk.com/wall68987676_15969?reply=15984
"[id420503956|Милана], а может и не исполниться"|29 мар 2017 в 19:12|https://vk.com/wall-69371352_1723301?reply=1723310
да насрать на этого ребенка|29 июл 2018 в 14:46|https://vk.com/wall-25280329_196231?reply=196239
"[id108608761|Иван], спс"|10 янв 2018 в 17:56|https://vk.com/wall-95927518_1952243?reply=1952306
как и в позапрошлой в принципе|16 дек 2018 в 22:16|https://vk.com/wall-3855883_71190?reply=71191
любовь такое чуство что его разьебать очень сложно в последствии..|2 фев 2012 в 19:10|https://vk.com/wall514021_1161?reply=1162
а у меня райзенннннннннннн пиздец выебал всех перформансом (который мне ща уменьшат)|18 мая 2025 в 2:08|https://vk.com/wall-173708783_325962?reply=326124
|7 июн 2020 в 17:36|https://vk.com/wall-60465354_65183?reply=65192
да я понимаю|17 апр 2020 в 12:13|https://vk.com/wall-87030099_24343?reply=24346&thread=24344
ясно-хул япон. я-пон: систем эктив эй т-д!|13 апр 2012 в 18:18|https://vk.com/wall68987676_1929?reply=1936
Сумму отьебать.|7 дек 2024 в 22:05|https://vk.com/wall-94076846_5984204?reply=5986109
"[id46763159|Алиса], так что то что ты слепая - твои только проблемы"|23 авг 2014 в 6:43|https://vk.com/wall-40339836_1132771?reply=1133831
"[id138609840|Андрей], лол криворук"|18 дек 2018 в 16:52|https://vk.com/wall-72495085_891873?reply=892193&thread=892192
основание тока для BC нужно|2 окт 2014 в 9:21|https://vk.com/wall-69371352_63820?reply=64070
"[id220617968|Flying], я более о том что хватит повторять тупые шутк 5летней давности которые слышиш от каждого первого"|20 авг 2018 в 10:55|https://vk.com/wall-132715180_61707?reply=61899
3 16|3 июл 2012 в 19:25|https://vk.com/wall68987676_2581?reply=2592
"[id50967840|Андрей], и щаз такие есть, просто на вершине популярности говнокод троянов от 16 летних ""программистов"""|9 янв 2018 в 15:37|https://vk.com/wall-81574241_63037?reply=63048
"[id210580457|Владимир], еще по краям где 2 пикселя , а , педики"|18 мая 2025 в 7:57|https://vk.com/wall-144877773_114997?reply=115188&thread=115016
бутылку то менять надо иногода. вроде так говорят|2 янв 2019 в 8:26|https://vk.com/wall-134594172_21079?reply=21120
поччти|30 авг 2019 в 23:15|https://vk.com/wall-174351493_8613?reply=8619
ну хорошо что хотя бы приходит. просто есть же еще бараны|23 апр 2025 в 17:15|https://vk.com/wall-72495085_1484515?reply=1485146
"[id307463137|Никита],"|21 апр 2018 в 11:12|https://vk.com/wall-72264719_36462?reply=36466
пидор|12 мар 2023 в 13:53|https://vk.com/wall-149367215_421319?reply=421712
Ожидание обмана...|28 июл 2020 в 20:58|https://vk.com/wall-72495085_1135556?reply=1135615
который обойти пара секунд|21 июл 2017 в 12:09|https://vk.com/wall-73013298_204945?reply=204947
пробегая м и мо|29 мая 2023 в 18:58|https://vk.com/wall68987676_13749?reply=13764
рабируйте блять|23 апр 2023 в 1:50|https://vk.com/wall68987676_13310?reply=13391
"[id151060955|Тимур], ты заплетак то закрой свой"|28 окт 2016 в 9:02|https://vk.com/wall-92879038_495903?reply=496033
비|21 фев 2020 в 17:39|https://vk.com/wall-123553318_799?reply=808
йа чо должен два раза павтарядь?|3 сен 2022 в 1:22|https://vk.com/wall68987676_11818?reply=11862
4|20 сен 2018 в 13:11|https://vk.com/wall-147720339_3499260?reply=3507598
нн аматеур рэ д ио|27 июн 2014 в 11:39|https://vk.com/wall68987676_3597?reply=3616
"[id387754913|Леонид], скорее всего последнее"|28 ноя 2017 в 15:20|https://vk.com/wall-146729859_8563?reply=8576
куэму с аббатычем ща ж опы взорву т на сценерус +b *@mastah.vault13.biz -oooo mastah mastah mastah mastah kick mastha|17 июн 2023 в 9:33|https://vk.com/wall68987676_14076?reply=14078
|23 авг 2014 в 4:16|https://vk.com/wall-36507793_9757?reply=10130
"[id305213969|Тимофей], как ты заебал уже нахуй"|21 фев 2017 в 14:48|https://vk.com/wall-69371352_1649783?reply=1650646
тяжелая работа с трупами вообще какаято непонятная ситуация. сама идея обязательного закапывания какимито корянми уходит в средневековье при чуме|26 мар 2025 в 3:26|https://vk.com/wall-66894905_571208?reply=571380
"[id6238258|Пашка], они дали им\"|18 мая 2025 в 21:39|https://vk.com/wall-43521631_1346913?reply=1346935&thread=1346917
две секунды назад|30 ноя 2011 в 10:34|https://vk.com/wall2487753_4439?reply=4443
ай погадай|31 мая 2016 в 9:59|https://vk.com/wall4904320_9548?reply=9550
непонимаю почему линуксоиды не врубают сразу все экспериментальные фичи в ядре, можно ведь реально доминировать над каналом когда все включено|1 сен 2018 в 23:46|https://vk.com/wall-72495085_861730?reply=861904
поносить стартирую послезавтра в 16:00|16 авг 2024 в 0:58|https://vk.com/wall-124369837_398?reply=400
ду ю лай к|16 дек 2019 в 23:30|https://vk.com/wall68987676_8394?reply=8409
как и твоя панель управления 19 века|27 июн 2024 в 14:57|https://vk.com/wall-20744542_2094046?reply=2094410&thread=2094315
когда обьясняеш что у тебя мак и вирусов у тебя нет.  потому что нахуй ты никому не нужен|30 мая 2020 в 1:45|https://vk.com/wall-192779261_90430?reply=90454
"[id42203518|Vladimir], я посылаю"|21 авг 2019 в 18:46|https://vk.com/wall-30666517_1620222?reply=1620233&thread=1620229
это не мое анимэ|24 авг 2024 в 17:14|https://vk.com/wall-160959246_101428?reply=101449
"[id54450526|Павел], можно долго рассуждать на эту тему, но я как программист понимаю различия между био и не био, однако компьютеры вычисляют мгновенно до милиона вычислений в секунду, а может ли это мозг?"|28 дек 2016 в 17:50|https://vk.com/wall-90186375_7672?reply=7697
"[id672193718|Дэниел], через которых нужно пройти и больше не будет у нас маленького малдера"|12 янв 2025 в 22:26|https://vk.com/wall-212679318_41802?reply=41805&thread=41804
да этто ваще пизда!!!!Я ТАК РЖАЛ|13 янв 2012 в 21:42|https://vk.com/wall1752601_5479?reply=5484
"[id120096086|Василий], а че есть"|9 дек 2018 в 4:14|https://vk.com/wall-147307303_43457?reply=43463&thread=43459
⚕|4 ноя 2017 в 23:38|https://vk.com/wall-123553318_101?reply=104
жиза пиздец|21 мая 2018 в 22:03|https://vk.com/wall-132652649_93321?reply=93328
"[id415260043|Андрей], я из бокситов"|17 янв 2019 в 16:18|https://vk.com/wall-143503361_122613?reply=122658&thread=122614
спасибо игорян)))|17 мая 2012 в 13:05|https://vk.com/wall68987676_2180?reply=2181
"[id544427419|Мария], мария ты как всегда йобнулас, мк ультра это юс создание для теста наркоты на людях. каким образом через ток и избиения ввести в транс наверно только твой начальник знает. передай ему что на ферме его отьебут мои последователи"|6 июл 2025 в 16:01|https://vk.com/wall-206707842_21359?reply=21962&thread=21558
"[id4427135|Евгений], прочти эту сначала. там не про просто язык пхп но и про средства разарботки, современные"|2 ноя 2017 в 20:03|https://vk.com/wall-72264719_23156?reply=23167
в макс рубился. ща не играю. повреждения, но скоро подлечусь годика через 5|25 июл 2014 в 22:47|https://vk.com/wall-55307799_204570?reply=205349
фу жинсы|25 ноя 2018 в 5:20|https://vk.com/wall-150829605_41896?reply=42051
"[id440100187|Твой], ну а чо ты хотел, все что запрещено ценники можно на три умножать"|13 сен 2018 в 10:41|https://vk.com/wall-147307303_32219?reply=32238
обнаружена обезьяна|16 апр 2020 в 16:14|https://vk.com/wall-43521631_1272281?reply=1272314
фу|28 фев 2020 в 18:24|https://vk.com/wall-30666517_1655880?reply=1655881
*💱|9 июн 2025 в 0:38|https://vk.com/wall-216965535_128321?reply=128339
прыгай в коляску если абориген с тобой|24 мар 2020 в 9:21|https://vk.com/wall-56769815_41420?reply=41425
